Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,199,8,0,0,0,0,0,0,0,FF,0.171,R
0,F9,8,0,0,0,0,0,0,FF,0,0.17126,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.17152,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.17177,R
0,121,4,2,0,0,0,,,,,0.17194,R
0,C9,8,98,5D,7,0,0,0,0,0,0.17979,R
0,191,8,0,0,0,0,0,0,0,0,0.17996,R
0,199,8,0,0,0,0,0,0,0,FF,0.18397,R
0,F9,8,0,0,0,0,0,0,FF,0,0.18423,R
0,C9,8,A7,5D,7,0,0,0,0,0,0.18978,R
0,191,8,0,0,0,0,0,0,0,0,0.19003,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.19029,R
0,1C3,8,AC,5D,7,0,0,0,0,0,0.19046,R
0,199,8,0,0,0,0,0,0,0,FF,0.1966,R
0,F9,8,0,0,0,0,0,0,FF,0,0.19686,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.19712,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.19737,R
0,C9,8,BB,5D,7,0,0,0,0,0,0.19976,R
0,191,8,0,0,0,0,0,0,0,0,0.20002,R
0,199,8,0,0,0,0,0,0,0,FF,0.20957,R
0,C9,8,CA,5D,7,0,0,0,0,0,0.20983,R
0,F9,8,0,0,0,0,0,0,FF,0,0.21009,R
0,191,8,0,0,0,0,0,0,0,0,0.21034,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.21213,R
0,1C3,8,D0,5D,7,0,0,0,0,0,0.21239,R
0,C9,8,DE,5D,7,0,0,0,0,0,0.21973,R
0,191,8,0,0,0,0,0,0,0,0,0.21998,R
0,2C3,8,10,5E,7,0,0,0,0,0,0.22024,R
0,3C1,8,74,5E,7,0,0,0,0,0,0.2205,R
0,3D1,8,3C,5F,7,0,0,0,0,0,0.22075,R
0,3E9,8,D8,5E,7,0,0,0,0,0,0.22101,R
0,199,8,0,0,0,0,0,0,0,FF,0.2222,R
0,F9,8,0,0,0,0,0,0,FF,0,0.22246,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.22272,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.22297,R
0,C9,8,83,5E,7,0,0,0,0,0,0.2298,R
0,191,8,0,0,0,0,0,0,0,0,0.22997,R
0,199,8,0,0,0,0,0,0,0,FF,0.23526,R
0,F9,8,0,0,0,0,0,0,FF,0,0.23552,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.23569,R
0,1C3,8,8A,5E,7,0,0,0,0,0,0.23594,R
0,C9,8,97,5E,7,0,0,0,0,0,0.23978,R
0,191,8,0,0,0,0,0,0,0,0,0.24004,R
0,199,8,0,0,0,0,0,0,0,FF,0.2478,R
0,F9,8,0,0,0,0,0,0,FF,0,0.24806,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.24832,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.24857,R
0,C9,8,A6,5E,7,0,0,0,0,0,0.24977,R
0,191,8,0,0,0,0,0,0,0,0,0.25002,R
