CandidateID,Periodicity,InstanceIndex,Attackable,AtkWinLen,AtkWinCount,AtkWinMessages,InsWinMessages
977,0.100,34,1,444,4,201;401;707;961,-1;-1;7705;-1
977,0.100,41,1,444,4,201;401;707;961,-1;-1;7707;-1
977,0.100,44,1,444,4,201;401;707;961,-1;-1;7709;-1
977,0.100,0,1,444,4,201;401;707;961,-1;-1;7711;-1
977,0.100,2,1,444,4,201;401;707;961,-1;-1;7713;-1
977,0.100,3,1,444,4,201;401;707;961,-1;-1;7715;-1
977,0.100,5,1,444,4,201;401;707;961,-1;-1;7717;-1
977,0.100,6,1,444,4,201;401;707;961,-1;-1;7719;-1
977,0.100,7,1,444,4,201;401;707;961,-1;-1;7721;-1
977,0.100,8,1,444,4,201;401;707;961,-1;-1;7723;-1
977,0.100,9,1,444,4,201;401;707;961,-1;-1;7725;-1
977,0.100,10,1,444,4,201;401;707;961,-1;-1;7727;-1
977,0.100,12,1,444,4,201;401;707;961,-1;-1;7729;-1
977,0.100,13,1,444,4,201;401;707;961,-1;-1;7731;-1
977,0.100,15,1,444,4,201;401;707;961,-1;-1;7733;-1
977,0.100,16,1,444,4,201;401;707;961,-1;-1;7635;-1
977,0.100,17,1,444,4,201;401;707;961,-1;-1;7637;-1
977,0.100,18,1,444,4,201;401;707;961,-1;-1;7639;-1
977,0.100,19,1,444,4,201;401;707;961,-1;-1;7641;-1
977,0.100,20,1,444,4,201;401;707;961,-1;-1;7643;-1
977,0.100,22,1,444,4,201;401;707;961,-1;-1;7645;-1
977,0.100,23,1,444,4,201;401;707;961,-1;-1;7647;-1
977,0.100,25,1,444,4,201;401;707;961,-1;-1;7649;-1
977,0.100,26,1,444,4,201;401;707;961,-1;-1;7651;-1
977,0.100,27,1,444,4,201;401;707;961,-1;-1;7653;-1
977,0.100,28,1,444,4,201;401;707;961,-1;-1;7655;-1
977,0.100,29,1,444,4,201;401;707;961,-1;-1;7657;-1
977,0.100,30,1,444,4,201;401;707;961,-1;-1;7659;-1
977,0.100,32,1,444,4,201;401;707;961,-1;-1;7661;-1
977,0.100,33,1,444,4,201;401;707;961,-1;-1;7663;-1
977,0.100,35,1,444,4,201;401;707;961,-1;-1;7665;-1
977,0.100,36,1,444,4,201;401;707;961,-1;-1;7667;-1
977,0.100,37,1,444,4,201;401;707;961,-1;-1;7669;-1
977,0.100,38,1,444,4,201;401;707;961,-1;-1;7671;-1
977,0.100,39,1,444,4,201;401;707;961,-1;-1;7673;-1
977,0.100,40,1,444,4,201;401;707;961,-1;-1;7675;-1
977,0.100,42,1,444,4,201;401;707;961,-1;-1;7677;-1
977,0.100,43,1,444,4,201;401;707;961,-1;-1;7679;-1
977,0.100,45,1,444,4,201;401;707;961,-1;-1;7681;-1
977,0.100,46,1,444,4,201;401;707;961,-1;-1;7683;-1
977,0.100,47,1,444,4,201;401;707;961,-1;-1;7685;-1
977,0.100,48,1,444,4,201;401;707;961,-1;-1;7687;-1
977,0.100,49,1,444,4,201;401;707;961,-1;-1;7689;-1
